Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Average_Precision,Fraud_Detected_TP,Fraud_Missed_FN,False_Alerts_FP,Correct_Legitimate_TN
Logistic Regression,0.9752,0.0562,0.8737,0.1057,0.9657,0.6719,83,12,1393,55258
Random Forest,0.9994,0.8846,0.7263,0.7977,0.9681,0.8057,69,26,9,56642
